[2026-03-27T15:18:10.088Z] GET https://pubmed.ncbi.nlm.nih.gov/?term=mechanical+tension+muscle+hypertrophy+primary+driver&sort=date → pending (?ms, ?B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/CACHE/css/output.8af684516550.css → 200 (535ms, 83959B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/CACHE/css/output.452c70ce66f7.css → 200 (570ms, 7581B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/CACHE/css/output.c71ac2b2c597.css → 200 (573ms, 23501B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/CACHE/css/output.2a55692e81db.css → 200 (427ms, 169697B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/CACHE/css/output.23b27e3d0764.css → 200 (570ms, 4224B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/coreutils/uswds/img/favicons/favicon-57.png → 200 (624ms, 521B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/coreutils/uswds/img/icon-dot-gov.svg → 200 (624ms, 651B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/coreutils/uswds/img/icon-https.svg → 200 (582ms, 518B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/coreutils/nwds/img/logos/AgencyLogo.svg → 200 (624ms, 39835B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/core/images/pubmed-logo-blue.svg → 200 (622ms, 5419B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/CACHE/js/output.1119c5b65e07.js → 200 (729ms, 183805B)
[2026-03-27T15:18:11.535Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/CACHE/js/output.598ebf77bf13.js → 200 (763ms, 77865B)
[2026-03-27T15:18:11.536Z] GET https://cdn.ncbi.nlm.nih.gov/core/pinger/pinger.js → pending (?ms, ?B)
[2026-03-27T15:18:11.536Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/CACHE/js/output.ea668e17054b.js → pending (?ms, ?B)
[2026-03-27T15:18:12.156Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/uswds/dist/img/alerts/warning.svg → pending (?ms, ?B)
[2026-03-27T15:18:12.157Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/uswds/dist/fonts/merriweather-bold-webfont.woff2 → pending (?ms, ?B)
[2026-03-27T15:18:12.309Z] GET https://cdn.ncbi.nlm.nih.gov/pubmed/9fea6d21-07b4-4726-b151-fb89a024b8ad/core/dismissable-ncbi-alert.js → pending (?ms, ?B)
[2026-03-27T15:18:12.553Z] GET https://cdn.ncbi.nlm.nih.gov/core/alerts/alerts.js?_=1774624692274 → 200 (161ms, 19702B)
[2026-03-27T15:18:12.563Z] GET https://www.googletagmanager.com/gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer → 200 (775ms, 376624B)
[2026-03-27T15:18:12.563Z] GET https://pubmed.ncbi.nlm.nih.gov/stat?HTTP_REFERER=&SELF_URL=https%3A%2F%2Fpubmed.ncbi.nlm.nih.gov%2F%3Fterm%3Dmechanical%2Btension%2Bmuscle%2Bhypertrophy%2Bprimary%2Bdriver%26sort%3Ddate&browserheight=720&browserwidth=1280&colorDepth=24&connection_effectivetype=4g&connection_type=&cookieSize=143&cookieenabled=true&is_browser_supported=true&jsevent=render&jsloadtime=&jsperf_basePage=3&jsperf_connect=288&jsperf_dns=1&jsperf_navTimingNetworkMS=1402&jsperf_navTimingRedirectCount=0&jsperf_navTimingType=navigate&jsperf_navType=0&jsperf_redirectCount=0&jsperf_ttfb=1108&jsrendertime=&language_code=en-US&log_category=literature&log_filters=&log_filtersactive=False&log_op=search&log_processedquery=%22mechanical%22%5BAll%20Fields%5D%20AND%20%22tension%22%5BAll%20Fields%5D%20AND%20%22muscle%22%5BAll%20Fields%5D%20AND%20%22hypertrophy%22%5BAll%20Fields%5D%20AND%20%22primary%22%5BAll%20Fields%5D%20AND%20%22driver%22%5BAll%20Fields%5D&log_proximity_search_active=False&log_query=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver&log_resultcount=0&log_userterm=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver&myncbi_signed_in=false&ncbi_adj_nav_search_id=kMBbhfeLLde9spvxXzMqNQ%3Af19a3eac5a5b8d6da749ed1daf9b761b&ncbi_algorithm=&ncbi_app=pubmed&ncbi_cost_center=pubmed&ncbi_db=pubmed&ncbi_featured_srcdb=&ncbi_log_query=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver&ncbi_nwds=yes&ncbi_nwds_ver=1.2.5&ncbi_pageno=0&ncbi_pcid=&ncbi_pdid=emptyresult&ncbi_phid=922F00019AA0C52500003C8CDF60F65F.1.m_5&ncbi_program=&ncbi_search_id=1_p6dzYOPDxMBfngaeCoMQ%3Af19a3eac5a5b8d6da749ed1daf9b761b&ncbi_timesinceload=2&ncbi_timesincenavstart=2475&pagename=pubmed%3Apubmed%3Aemptyresult%3ANONE&pinger_in_iframe=false&screenavailheight=720&screenavailwidth=1280&screenheight=720&screenwidth=1280&server=pubmed.ncbi.nlm.nih.gov&sgSource=native&sgversion=0.42.0&sgversion_hotfix=0&sgversion_major=0&sgversion_minor=42&spa_index=0 → 403 (342ms, 134B)
[2026-03-27T15:18:12.563Z] GET https://pubmed.ncbi.nlm.nih.gov/stat?browserheight=720&browserwidth=1280&colorDepth=24&connection_effectivetype=4g&connection_type=&cookieSize=241&cookieenabled=true&is_browser_supported=true&jsevent=domready&language_code=en-US&log_category=literature&log_filters=&log_filtersactive=False&log_op=search&log_processedquery=%22mechanical%22%5BAll%20Fields%5D%20AND%20%22tension%22%5BAll%20Fields%5D%20AND%20%22muscle%22%5BAll%20Fields%5D%20AND%20%22hypertrophy%22%5BAll%20Fields%5D%20AND%20%22primary%22%5BAll%20Fields%5D%20AND%20%22driver%22%5BAll%20Fields%5D&log_proximity_search_active=False&log_query=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver&log_resultcount=0&log_userterm=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver&myncbi_signed_in=false&ncbi_adj_nav_search_id=kMBbhfeLLde9spvxXzMqNQ%3Af19a3eac5a5b8d6da749ed1daf9b761b&ncbi_algorithm=&ncbi_app=pubmed&ncbi_cost_center=pubmed&ncbi_db=pubmed&ncbi_featured_srcdb=&ncbi_log_query=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver&ncbi_nwds=yes&ncbi_nwds_ver=1.2.5&ncbi_pageno=0&ncbi_pcid=&ncbi_pdid=emptyresult&ncbi_phid=922F00019AA0C52500003C8CDF60F65F.1.m_5&ncbi_program=&ncbi_search_id=1_p6dzYOPDxMBfngaeCoMQ%3Af19a3eac5a5b8d6da749ed1daf9b761b&ncbi_timesinceload=4&ncbi_timesincenavstart=2477&pagename=pubmed%3Apubmed%3Aemptyresult%3ANONE&pinger_in_iframe=false&screenavailheight=720&screenavailwidth=1280&screenheight=720&screenwidth=1280&server=pubmed.ncbi.nlm.nih.gov&sgSource=native&sgversion=0.42.0&sgversion_hotfix=0&sgversion_major=0&sgversion_minor=42&spa_index=0 → 403 (465ms, 134B)
[2026-03-27T15:18:12.716Z] GET https://cdn.ncbi.nlm.nih.gov/ncbi-media/alerts/alerts.json → 200 (369ms, 779B)
[2026-03-27T15:18:13.355Z] GET https://www.googletagmanager.com/gtag/js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c&gtm=4e63p1 → pending (?ms, ?B)
[2026-03-27T15:18:13.355Z] GET https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=HHS&subagency=NCBI%20-%20ncbi.nlm.nih.gov&sitetopic=NCBI%20Pinger%200.39.3&siteplatform=NCBI%20Pinger%200.39.3 → pending (?ms, ?B)
[2026-03-27T15:18:13.668Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-DP2X732JSX&gtm=45je63p1v884263385z8847342615za20gzb847342615zd847342615&_p=1774624692559&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=720031867.1774624694&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=15.3.0&uaw=0&are=1&frm=0&pscdl=noapi&_s=1&tag_exp=0~115938466~115938468~117266401~117484252~117512542&dl=https%3A%2F%2Fpubmed.ncbi.nlm.nih.gov%2F%3Fterm%3Dmechanical%2Btension%2Bmuscle%2Bhypertrophy%2Bprimary%2Bdriver%26sort%3Ddate&sid=1774624693&sct=1&seg=0&dt=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver%20-%20Search%20Results%20-%20PubMed&en=page_view&_fv=1&_nsi=1&_ss=1&ep.ncbi_app=pubmed&ep.ncbi_db=pubmed&ep.ncbi_pdid=emptyresult&ep.ncbi_signed_in=NO&ep.ncbi_app_db_pdid=pubmed%3Apubmed%3Aemptyresult&ep.ncbi_nwds=yes&ep.debug_event=&ep.content_group=pubmed%3Apubmed%3Aemptyresult&ep.content_group2=pubmed&ep.content_group3=pubmed&ep.content_group4=emptyresult&ep.ncbi_pcid=(not%20set)&tfd=3566 → 204 (462ms, ?B)
[2026-03-27T15:18:14.144Z] GET https://dap.digitalgov.gov/web-vitals/dist/web-vitals.attribution.iife.js → 200 (144ms, 12505B)
[2026-03-27T15:18:14.144Z] GET https://www.googletagmanager.com/gtag/js?id=G-CSLL4ZEK4L → pending (?ms, ?B)
[2026-03-27T15:18:14.610Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-CSLL4ZEK4L&gtm=45je63p1v9131934939za200zd9131934939&_p=1774624694139&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=720031867.1774624694&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=15.3.0&uaw=0&are=1&frm=0&pscdl=noapi&_s=1&tag_exp=0~115616985~115938466~115938469~117384406~117484252~117512542&dl=https%3A%2F%2Fpubmed.ncbi.nlm.nih.gov%2F%3Fterm%3Dmechanical%2Btension%2Bmuscle%2Bhypertrophy%2Bprimary%2Bdriver&dt=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver%20-%20Search%20Results%20-%20PubMed&dr=&sid=1774624694&sct=1&seg=0&_tu=wA&en=page_view&_fv=1&_ss=1&_ee=1&ep.agency=HHS&ep.subagency=NCBI%20-%20NCBI.NLM.NIH.GOV&ep.site_topic=ncbi%20pinger%200.39.3&ep.site_platform=ncbi%20pinger%200.39.3&ep.script_source=https%3A%2F%2Fdap.digitalgov.gov%2Funiversal-federated-analytics-min.js&ep.version=20250702%20v8.7%20-%20ga4&ep.protocol=https%3A&ep.using_parallel_tracker=no&ep.hostname_dimension=pubmed.ncbi.nlm.nih.gov&tfd=4520 → 204 (128ms, ?B)
[2026-03-27T15:18:14.629Z] GET https://pubmed.ncbi.nlm.nih.gov/suggestions/?term=mechanical%20tension%20muscle%20hypertrophy%20primary%20driver → 403 (321ms, 134B)
[2026-03-27T15:18:14.629Z] GET https://zndikywqsjiuwn0q5-nlmenterprise.siteintercept.qualtrics.com/SIE/?Q_ZID=ZN_dikYWqsjiUWN0Q5 → 200 (298ms, 9459B)
[2026-03-27T15:18:14.929Z] GET https://siteintercept.qualtrics.com/dxjsmodule/37.f07adfd0005923b508c9.chunk.js?Q_CLIENTVERSION=2.45.0&Q_CLIENTTYPE=web&Q_BRANDID=pubmed.ncbi.nlm.nih.gov → 200 (148ms, 55839B)
[2026-03-27T15:18:14.929Z] GET https://siteintercept.qualtrics.com/dxjsmodule/12.45e656039b3fa23613e1.chunk.js?Q_CLIENTVERSION=2.45.0&Q_CLIENTTYPE=web&Q_BRANDID=pubmed.ncbi.nlm.nih.gov → 200 (141ms, 139562B)
[2026-03-27T15:18:15.087Z] POST https://siteintercept.qualtrics.com/WRSiteInterceptEngine/Targeting.php?Q_ZoneID=ZN_dikYWqsjiUWN0Q5&Q_CLIENTVERSION=2.45.0&Q_CLIENTTYPE=web → pending (?ms, ?B)
[2026-03-27T15:18:15.527Z] GET https://siteintercept.qualtrics.com/dxjsmodule/CoreModule.js?Q_CLIENTVERSION=2.45.0&Q_CLIENTTYPE=web&Q_BRANDID=nlmenterprise → 200 (79ms, 107899B)
[2026-03-27T15:18:15.627Z] GET https://siteintercept.qualtrics.com/dxjsmodule/7.ef73897faa00f34d8366.chunk.js?Q_CLIENTVERSION=2.45.0&Q_CLIENTTYPE=web&Q_BRANDID=nlmenterprise → 200 (59ms, 2901B)
[2026-03-27T15:18:15.627Z] GET https://siteintercept.qualtrics.com/dxjsmodule/1.1838854a301771fadd51.chunk.js?Q_CLIENTVERSION=2.45.0&Q_CLIENTTYPE=web&Q_BRANDID=nlmenterprise → 200 (75ms, 31835B)
